BE Number,BE Date,HSN CODE,Product Description,IEC,Indian Company,ADDRESS1,CITY,Pin Code,Indian Port,MODE,Foreign Company,Supplier_Address,Shipment_Port_Code,Shipment_Port,Foreign Country,Quantity,UQC,Invoice_Unit_Price_FOREIGN CURRENCY,Total assess value in Foreign currency,INVOICE_CURRENCY,Unit_Price in INR,Amount (INR),Total_Duty_Paid,CHA_Number,CHA_Name,BE_Type
6952376,1/4/2022,29336990,CYANURIC CHLORIDE,0807006211,D. K. DYES & CHEMICALS,"OFFICE # 608 SHIROMANI COMPLEX  NR.NEHRU NAGAR, SATTELITE",AHMEDABAD,380015,AHEMDABAD ICD (INSBI6),ICD,HINDPRAKASH TRADELINK PVT LTD.,NA,NA,NA,CHINA,"15,000",KGS,5,"78,750",USD,405,"6,075,563","1,229,390",NA,NA,House Consumption
6947427,1/4/2022,29336910,CYANURIC CHLORIDE QUAL.F,0815908156,MEGHMANI DYES AND INTERMEDIATES LLP,"PLOT NO 96 97 98 99 100A 102 103,P  HASE II GIDC IND ESTATE VATVA","AHMEDABAD,GUJARAT",382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,"15,000",KGS,1,"20,850",USD,114,"1,710,300","346,079",NA,NA,X-Bond Shipment
6947427,1/4/2022,29336910,CYANURIC CHLORIDE QUAL.F,0815908156,MEGHMANI DYES AND INTERMEDIATES LLP,"PLOT NO 96 97 98 99 100A 102 103,P  HASE II GIDC IND ESTATE VATVA","AHMEDABAD,GUJARAT",382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,"15,000",KGS,1,"20,850",USD,114,"1,710,300","346,079",NA,NA,X-Bond Shipment
6959147,1/5/2022,29336990,CYANURIC CHLORIDE,0809014734,ANAR MCAT ADVANCED ELECTRONIC CHEMICALS PRIVATE LI,"CHITRAKOOT OPP C N VIDALAYA,BH SHA  KUNTAL COMPLEX AMBAWADI","AHMEDABAD,GUJARAT",380006,MUNDRA SEA (INMUN1),SEA,HIGH HOPE INTL GROUP JIANGSU CHAMPION HOLDINGS LIM,NA,NA,NA,CHINA,"13,500",KGS,5,"65,475",USD,382,"5,157,000","1,430,294",NA,NA,House Consumption
6958834,1/5/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,NHAVA SHEVA SEA (INNSA1),SEA,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,15,MT,"1,390","20,850",USD,"143,720","2,155,800","436,226",NA,NA,House Consumption
6958834,1/5/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,NHAVA SHEVA SEA (INNSA1),SEA,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,15,MT,"1,390","20,850",USD,"143,720","2,155,800","436,226",NA,NA,House Consumption
6958834,1/5/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,NHAVA SHEVA SEA (INNSA1),SEA,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,15,MT,"1,390","20,850",USD,"143,720","2,155,800","436,226",NA,NA,House Consumption
6959348,1/5/2022,29336910,CYANURIC CHLORIDE (END USE FOR MANUFACTURING OF REACTIVE DYES),0896009025,KIRI INDUSTRIES LIMITED,"7TH FLOOR,HASUBHAI CHAMBER, OPP-,T  OWN HALL, ELLISBRIDGE","AHMEDABAD,GUJARAT",380006,NHAVA SHEVA SEA (INNSA1),SEA,DALIAN CHEM IMP. EXP. GROUP CO. L,NA,NA,NA,CHINA,"15,000",KGS,4,"65,250",USD,359,"5,385,000",0,NA,NA,House Consumption
6960412,1/5/2022,29336910,CYANURIC CHLORIDE QUAL F,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,"15,000",KGS,1,"20,850",USD,109,"1,640,749","332,006",NA,NA,House Consumption
6960412,1/5/2022,29336910,CYANURIC CHLORIDE QUAL.F,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,"15,000",KGS,1,"20,850",USD,109,"1,640,749","332,006",NA,NA,House Consumption
6982677,1/7/2022,29336990,CYANURIC CHLORIDE 99.5% MIN. AS PER INVOICE,0817509593,MCFILLS ENTERPRISES PRIVATE LIMITED,"501, 5TH FLOOR, SHIKHAR COMPLEX,,N  R.RLY. CROSSING, NAVRANGPURA,","AHMEDABAD,GUJARAT",380009,AHEMDABAD ICD (INSBI6),ICD,"YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.,LTD",NA,NA,NA,CHINA,"20,000",KGS,4,"70,000",USD,264,"5,278,000","1,068,003",NA,NA,House Consumption
6983025,1/7/2022,29336990,CYANURIC CHLORIDE 99.5 % MIN,0888017031,JAY CHEMICAL INDUSTRIES PRIVATE LIMITED,JAY HOUSE PANCHWATI CIRCLE  AMBAWADI Contact No: 919099944187,AHMEDABAD,380006,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,M/S. YNNOVATE SANZHENG (YINGKOU) FI,NA,NA,NA,CHINA,"18,000",KGS,4,"73,800",USD,309,"5,564,520","1,125,981",NA,NA,House Consumption
6986484,1/7/2022,29336990,CYANURIC CHLORIDE 99.5 % MIN,0888017031,JAY CHEMICAL INDUSTRIES PRIVATE LIMITED,JAY HOUSE PANCHWATI CIRCLE  AMBAWADI Contact No: 919099944187,AHMEDABAD,380006,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,M/S.YNNOVATE SANZHENG (YINGKOU) FIN,NA,NA,NA,CHINA,"18,000",KGS,4,"73,800",USD,309,"5,564,520","1,125,981",NA,NA,House Consumption
6984054,1/7/2022,29336910,CYANURIC CHLORIDE,0313041890,ARCHROMA INDIA PRIVATE LIMITED,"9TH FLOOR, BUILDING-D,MBC PARK,GHO  DBUNDER ROAD,KASARVADAVALI,","THANE WEST,MAHARASHTRA",400615,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI SHANLI CHEMICAL CO., LTD",NA,NA,NA,CHINA,"15,000",KGS,4,"60,450",USD,304,"4,557,930","1,264,142",NA,NA,House Consumption
6996816,1/7/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"10,000",KGS,5,"47,000",USD,354,"3,543,800","982,873",NA,NA,House Consumption
6984941,1/7/2022,29336910,CYANURIC CHLORIDE,0896009025,KIRI INDUSTRIES LIMITED,"7TH FLOOR,HASUBHAI CHAMBER, OPP-,T  OWN HALL, ELLISBRIDGE","AHMEDABAD,GUJARAT",380006,NHAVA SHEVA SEA (INNSA1),SEA,"WEIFANG ZHONGYING CHEMICAL CO.,LTD.",NA,NA,NA,CHINA,"13,000",KGS,5,"63,050",USD,382,"4,961,594",0,NA,NA,X-Bond Shipment
6999796,1/8/2022,29336910,CYANURIC CHLORIDE,0313041890,ARCHROMA INDIA PRIVATE LIMITED,"9TH FLOOR, BUILDING-D,MBC PARK,GHO  DBUNDER ROAD,KASARVADAVALI,","THANE WEST,MAHARASHTRA",400615,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI SHANLI CHEMICAL CO., LTD",NA,NA,NA,CHINA,"15,000",KGS,4,"60,450",USD,304,"4,557,930","1,264,142",NA,NA,House Consumption
7006620,1/8/2022,29336990,CYANURIC CHLORIDE,0808014111,LONSEN KIRI CHEMICAL INDUSTRIES LIMITED,"7TH FLOOR HASUBNHAI CHAMBER OPP-,T  OWN HALL , ELLISBRIDGE","AHMEDABAD,GUJARAT",380006,AHEMDABAD ICD (INSBI6),ICD,"HEBEI SHANLI CHEMICAL CO.,LTD",NA,NA,NA,CHINA,"44,000",KGS,5,"206,800",USD,354,"15,592,720",0,NA,NA,House Consumption
7007140,1/8/2022,29336990,CYANURIC CHLORIDE,0808014111,LONSEN KIRI CHEMICAL INDUSTRIES LIMITED,"7TH FLOOR HASUBNHAI CHAMBER OPP-,T  OWN HALL , ELLISBRIDGE","AHMEDABAD,GUJARAT",380006,AHEMDABAD ICD (INSBI6),ICD,"HEBEI SHANLI CHEMICAL CO.,LTD",NA,NA,NA,CHINA,"44,000",KGS,5,"206,800",USD,354,"15,592,720",0,NA,NA,House Consumption
7023278,1/10/2022,29336910,CYANURIC CHLORIDE 99.5% MIN,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG(YINGKOU) FINE CHEMICALS CO. LTD,NA,NA,NA,CHINA,"9,486",KGS,4,"38,892",USD,309,"2,932,440","813,312",NA,NA,House Consumption
7023278,1/10/2022,29336910,CYANURIC CHLORIDE 99.5% MIN,0388026049,ESKAY DYESTUFFS AND ORGANIC CHEMICALS PVT LTD,"2ND FLOOR, 22D WADIA BUILDINGS,  S A BRELVI ROAD, FORT,",MUMBAI,400001,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG(YINGKOU) FINE CHEMICALS CO. LTD,NA,NA,NA,CHINA,"10,514",KGS,4,"43,108",USD,309,"3,250,360","657,710",NA,NA,House Consumption
7032352,1/11/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"9,000",KGS,5,"42,300",USD,354,"3,189,420","884,586",NA,NA,House Consumption
7032352,1/11/2022,29336910,CYANURIC CHLORIDE,0300073259,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,"LIGHTHALL, B-WING, SAKI VIHAR ROAD  ,,ANDHERI","MUMBAI,MAHARASHTRA",400072,NHAVA SHEVA SEA (INNSA1),SEA,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"5,100",KGS,5,"23,970",USD,354,"1,807,338","501,265",NA,NA,House Consumption
7047647,1/12/2022,29336910,CYANURIC CHLORIDE,0313041890,ARCHROMA INDIA PRIVATE LIMITED,"9TH FLOOR, BUILDING-D,MBC PARK,GHO  DBUNDER ROAD,KASARVADAVALI,","THANE WEST,MAHARASHTRA",400615,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI SHANLI CHEMICAL CO., LTD",NA,NA,NA,CHINA,"15,000",KGS,4,"60,450",USD,304,"4,557,930","1,264,142",NA,NA,House Consumption
7047648,1/12/2022,29336910,CYANURIC CHLORIDE,0313041890,ARCHROMA INDIA PRIVATE LIMITED,"9TH FLOOR, BUILDING-D,MBC PARK,GHO  DBUNDER ROAD,KASARVADAVALI,","THANE WEST,MAHARASHTRA",400615,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI SHANLI CHEMICAL CO., LTD",NA,NA,NA,CHINA,"15,000",KGS,4,"60,450",USD,304,"4,557,930","1,264,142",NA,NA,House Consumption
7050678,1/12/2022,29336990,CYANURIC CHLORIDE,0888017031,JAY CHEMICAL INDUSTRIES PRIVATE LIMITED,JAY HOUSE PANCHWATI CIRCLE  AMBAWADI Contact No: 919099944187,AHMEDABAD,380006,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI SHANLI CHEMICAL CO.,LTD.",NA,NA,NA,CHINA,"36,000",KGS,2,"86,400",USD,181,"6,514,560","1,318,221",NA,NA,House Consumption
7051252,1/12/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,NHAVA SHEVA SEA (INNSA1),SEA,HEBEI SHANLI CHEMICAL CO LTD.,NA,NA,NA,CHINA,140,MT,"4,800","672,000",USD,"361,920","50,668,800","10,252,832",NA,NA,House Consumption
7051252,1/12/2022,29336990,CYANURIC CHLORIDE,0388046295,DEEPAK NITRITE LIMITED,AADITYA-1  CHHANI ROAD Contact No: 91987953404,VADODARA,390024,NHAVA SHEVA SEA (INNSA1),SEA,HEBEI SHANLI CHEMICAL CO LTD.,NA,NA,NA,CHINA,60,MT,"4,800","288,000",USD,"361,920","21,715,200",0,NA,NA,House Consumption
7073890,1/13/2022,29336990,"A15447.0BCyanuric acid, 99%",0300061374,THERMO FISHER SCIENTIFIC INDIA PRIVATE LIMITED,"403-404, B WING, DELPHI,,HIRANANDA  NI BUSINESS PARK, POWAI,","MUMBAI,MAHARASHTRA",400076,HYDERABAD ACC (INHYD4),AIR,ALFA AESAR,NA,NA,NA,UNITED KINGDOM,2,KGS,13,27,GBP,"1,389","2,779",771,NA,NA,House Consumption
7062444,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064170,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064171,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064172,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064173,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064322,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7064731,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7065088,1/13/2022,29336910,CYANURIC ACID POWDER,0388084537,SUNSHIELD CHEMICALS LIMITED,"EQUINOX BUSINESS PARK, TOWER-4,  9TH FLOOR, UNIT NO. 903, LBS MARG.",KURLA WEST,400070,NHAVA SHEVA SEA (INNSA1),SEA,"QINGDAO DEVELOP CHEMISTRY CO., LTD",NA,NA,NA,CHINA,20,MT,"1,440","28,800",USD,"108,144","2,162,880","437,659",NA,NA,X-Bond Shipment
7090792,1/15/2022,29336990,CYANURIC CHLORIDE.,0301070075,INNOVASSYNTH TECHNOLOGIES (INDIA ) LIMITED,"OLD MUMBAI PUNE HIGHWAY, KHOPOLI,,  DIST. RAIGAD","KHOPOLI,MAHARASHTRA",410203,NHAVA SHEVA SEA (INNSA1),SEA,"HEBEI CHENGXIN CO., LTD",NA,NA,NA,CHINA,"16,000",KGS,5,"86,400",USD,407,"6,514,560","1,806,813",NA,NA,Warehouse Shipment
7111811,1/17/2022,29336990,CYANURIC CHLORIDE,0898002168,KHYATI CHEMICALS PVT LTD,"201-203, THE ONE42 BUILDING, 2ND FL  OPP. JAYANTILAL PARK BRTS, AMBALI-B",AHMEDABAD,380058,AHEMDABAD ICD (INSBI6),ICD,"HEBEI SHANLI CHEMICAL CO.,LTD.",NA,NA,NA,CHINA,"30,000",KGS,4,"114,450",USD,288,"8,629,530","1,746,185",NA,NA,House Consumption
7112981,1/17/2022,29336910,CYANURIC CHLORIDE QUAL.F,0893016012,MEGHMANI INDUSTRIES LIMITED,"PLOT NO 25,26A,26B & 27 PHASE I,,G  IDC INDUSTRIAL ESTATE VATVA","AHMEDABAD,GUJARAT",382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,EVONIK OPERATIONS GMBH,NA,NA,NA,GERMANY,"15,000",KGS,1,"20,850",USD,115,"1,732,200","350,511",NA,NA,X-Bond Shipment
7126295,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0895006367,EVERGREEN INDUSTRIES,"C-1B, 90/14, 90/13.  PHASE-I GIDC E  B/H BANK OF INDIA VATVA,",AHMEDABAD,382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"3,490",KGS,5,"16,229",USD,351,"1,223,629",0,NA,NA,House Consumption
7126295,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0895006367,EVERGREEN INDUSTRIES,"C-1B, 90/14, 90/13.  PHASE-I GIDC E  B/H BANK OF INDIA VATVA,",AHMEDABAD,382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"3,417",KGS,5,"15,889",USD,351,"1,198,034","242,422",NA,NA,House Consumption
7126295,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0895006367,EVERGREEN INDUSTRIES,"C-1B, 90/14, 90/13.  PHASE-I GIDC E  B/H BANK OF INDIA VATVA,",AHMEDABAD,382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"6,654",KGS,5,"30,941",USD,351,"2,332,959","472,074",NA,NA,House Consumption
7126295,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0895006367,EVERGREEN INDUSTRIES,"C-1B, 90/14, 90/13.  PHASE-I GIDC E  B/H BANK OF INDIA VATVA,",AHMEDABAD,382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"2,115",KGS,5,"9,835",USD,351,"741,540",0,NA,NA,House Consumption
7126295,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0895006367,EVERGREEN INDUSTRIES,"C-1B, 90/14, 90/13.  PHASE-I GIDC E  B/H BANK OF INDIA VATVA,",AHMEDABAD,382445,THAR DRY PORT ICD/AHMEDABAD GUJARAT ICD (INSAU6),ICD,YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.LTD.,NA,NA,NA,CHINA,"2,324",KGS,5,"10,807",USD,351,"814,818",0,NA,NA,House Consumption
7119890,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0803005989,SHRI HARI DYES AND CHEMICALS,"PLOT NO 439 1 417 PHASE II NR,TAPS  HEEL ENTERPRISE GIDC","VATVA AHMEDABAD,GUJARAT",382445,AHEMDABAD ICD (INSBI6),ICD,"YNNOVATE SANZHENG (YINGKOU) FINE CHEMICALS CO.,LTD",NA,NA,NA,CHINA,"18,000",KGS,5,"83,700",USD,351,"6,310,980","1,277,027",NA,NA,House Consumption
7121038,1/18/2022,29336990,CYANURIC CHLORIDE 99.5% MIN,0898002168,KHYATI CHEMICALS PVT LTD,"201-203, THE ONE42 BUILDING, 2ND FL  OPP. JAYANTILAL PARK BRTS, AMBALI-B",AHMEDABAD,380058,AHEMDABAD ICD (INSBI6),ICD,"YNNOVATE SANZHENG (YINGKOU) FINE CHEMICAL CO., LTD",NA,NA,NA,CHINA,"30,000",KGS,4,"127,500",USD,320,"9,613,500","1,945,292",NA,NA,House Consumption
